Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
39,Cheer Boys!!,Animation,Japanese,Movie,8.2,Japan,1-2 hour,,"Jarrod Greene, Cris George, Dallas Reid, Justin Pate",6.4,,70,,,,3/1/2021,,,,
40,365 Nights,Thriller,Japanese,Movie,7.7,Japan,1-2 hour,Kon Ichikawa,"Hideko Takamine, Chizuko Nogami, Yûji Hori, Ken Uehara",5.5,,6,,,,3/1/2021,,,,
41,Restart After Come Back Home,Drama,Japanese,Movie,8.6,Japan,1-2 hour,Ryûta Inoue,"Masahiro Kômoto, Yukijirô Hotaru, Eri Murakawa, Yûki Furukawa",7.2,,80,,,,3/1/2021,,,,
42,Trial by Fire,Biography,English,Movie,6.2,United Kingdom,> 2 hrs,Edward Zwick,"Laura Dern, Jack O'Connell, Emily Meade, Chris Coy",6.9,61,3657,,,"$148,504 ",3/1/2021,,,,
43,5 Minute,Comedy,English,Movie,9.3,Romania,1-2 hour,,Jeff Lewis,8.6,,41,,3,,3/1/2021,,,,
44,Dilili in Paris,Animation,French,Movie,7.3,"Germany,Switzerland",1-2 hour,Michel Ocelot,"Prunelle Charles-Ambron, Bruno Paviot, Natalie Dessay, Enzo Ratsito",7,,816,1,2,,3/1/2021,,,,
45,All of Us,Comedy,English,Movie,7.3,Netherlands,1-2 hour,,"Duane Martin, Khamani Griffin, LisaRaye McCoy, Tony Rock",5.9,,1280,,12,,3/1/2021,,,,
46,Years and Years,Drama,English,Series,4.2,Belgium,< 30 minutes,,"Anne Reid, T'Nia Miller, Rory Kinnear, Ruth Madeley",8.3,,22324,1,14,,3/1/2021,,,,
47,The New Pope,Drama,"English, Italian",Series,4.1,"Belgium,Netherlands",< 30 minutes,,"Jude Law, Cécile de France, Silvio Orlando, John Malkovich",8.2,,12101,4,,,3/1/2021,,,,
48,Life and Nothing But,Drama,French,Movie,8.2,"France,Belgium",> 2 hrs,Bertrand Tavernier,"Maurice Barrier, Philippe Noiret, Sabine Azéma, Pascale Vignal",7.4,86,1568,9,14,,3/1/2021,,,,
49,Let Joy Reign Supreme,Drama,"French, Breton",Movie,8.1,"France,Belgium",1-2 hour,Bertrand Tavernier,"Philippe Noiret, Christine Pascal, Jean-Pierre Marielle, Jean Rochefort",7.1,79,1305,5,3,,3/1/2021,,,,
50,Coup de Torchon,Crime,"French, English",Movie,6.4,"France,Belgium",> 2 hrs,Bertrand Tavernier,"Jean-Pierre Marielle, Philippe Noiret, Isabelle Huppert, Stéphane Audran",7.5,83,5058,2,11,,3/1/2021,,,,
